Classification,Summary
0,childhood nasal type extranodal nk cell lymphoma diagnosis and potential donors who for psychological physiological or medical reasons cannot tolerate administration of csf or apheresis
0,head and neck neoplasms diagnosis and patients with contraindications to peg tube or ng tube placement
0,stage iii cutaneous cell non hodgkin lymphoma diagnosis and aplastic anemia
0,non hodgkin lymphoma diagnosis and female subject is pregnant or lactating confirmation that the subject is not pregnant must be established by negative serum beta human chorionic gonadotropin beta hcg pregnancy test result obtained during screening pregnancy testing is not required for postmenopausal or surgically sterilized women
1,urethral cancer diagnosis and cardiovascular
0,lymphoma diagnosis and newly diagnosed mcl
0,lobular breast carcinoma in situ diagnosis and current users of exogenous hormones or oral contraceptive or planning to use exogenous hormones during the duration of the study
0,prior chemotherapy for metastatic breast cancer
0,alveolar soft part sarcoma diagnosis and patients aged greater_than seventeen years with excess of doc ml of hemoptysis are not eligible
0,t cell lymphoma excluding primary cutaneous cell lymphoma diagnosis and systemic antineoplastic therapy within fourteen days preceding the first dose of study drug treatment
0,testicular lymphoma diagnosis and total serum bilirubin more than twice upper normal limit
0,hepatoblastoma diagnosis and john wort
1,prostate cancer diagnosis and biologic therapy
0,extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and calcium channel blockers
1,psychological impact of cancer and its treatment diagnosis and in phase two subjects are also required on accrual to be referred to palliative care
0,stomach neoplasms diagnosis and pregnant or lactating women
0,stage iiib non small cell lung cancer diagnosis and has history or current evidence of any condition therapy or laboratory abnormality that might confound the results of the trial interfere with the subject participation for the full duration of the trial or is not in the best interest of the subject to participate in the opinion of the treating investigator
1,stage iv fallopian tube cancer diagnosis and creatinine less than or equal to doc institutional upper limit normal uln or creatinine clearance greater_than fifty cc min
0,recurrent grade three follicular lymphoma diagnosis and use of any other experimental drug within twenty-eight days of baseline
1,more than thirty days since prior anticancer investigational drugs
1,multiple myeloma diagnosis and absolute neutrophil count greater than or equal to doc ul
0,recurrent cell non hodgkin lymphoma diagnosis and patients with history of prior treatment with an anti programmed cell death pd one antibody cdone37 agonist or other immune activating therapy such as anti cd forty antibody are excluded unless five half lives of the agent minimum of eight weeks have intervened since the therapy patients who have received prior vaccine therapy are eligible
0,primary peritoneal cancer diagnosis and active bacterial viral or fungal infections
1,brain tumors diagnosis and biologic therapy
0,prostate cancer diagnosis and active infection active antimicrobial therapy or serious intercurrent illness
0,contiguous stage ii adult diffuse large cell lymphoma diagnosis and in vitro cell depleted graft
1,ovarian neoplasms diagnosis and diarrhoea constipation bowel or rectum feels full change in bowel habits constant urge to have bowel movement painful or burning bowel movements rectal pain painful defecation
0,breast neoplasms diagnosis and no cytotoxic chemotherapy within two weeks of study registration
1,stage iib prostate cancer diagnosis and note
0,cancer diagnosis and exception
1,large cell lung cancer diagnosis and see disease characteristics
1,stage iv grade two follicular lymphoma diagnosis and they have been treated with more than one regimen of haart for total of at least six months duration
0,metastatic parathyroid cancer diagnosis and any other major illness which in the investigator judgment will substantially increase the risk associated with the patient participation in this study
1,cognitive side effects of cancer therapy diagnosis and any wbc with
0,multiple myeloma diagnosis and previous anti tumour therapies including prior experimental agents or approved anti tumour small molecules and biologics within twenty-eight days before the start of protocol treatment
0,ampullary carcinoma diagnosis and refusal of informed consent
0,non small cell lung cancer diagnosis and patients must have recovered from all surgery related complications
1,neuroblastoma diagnosis and fertile patients must use effective contraception prior to during and for two months after completion of study treatment
0,refractory lymphoblastic lymphoma diagnosis and for patients with philadelphia_chromosome positive ph positive all they must not have progressed within three months of receiving imatinib or have documented abl kinase mutation known to confer resistance to imatinib tthree15i
1,metastatic cancer diagnosis and zidovudine
1,aggressive non hodgkin lymphoma diagnosis and low grade nhl with less_than six month duration of cr between courses of conventional therapy
0,stage iv grade one follicular lymphoma diagnosis and no current malignancy
0,sarcoma diagnosis and history of clinically significant hypoglycemia or hyperglycemia in the opinion of the investigator
0,childhood immunoblastic large cell lymphoma diagnosis and fertile men or women unwilling to use contraceptive techniques during and for twelve months following treatment
0,gastric cancer diagnosis and known hypersensitivity against any of the study drugs capecitabine
0,recurrent adenoid cystic carcinoma of the oral cavity diagnosis and chronic treatment with systemic steroids or another immunosuppressive agent
